,Unnamed: 0.1,file,trans,speaker,start,end,duration,dialect,dialect_int,trans_length,trans_int,edu,work,age,edu_int,work_int,age_int
15435,56208,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_m_03_1.wav,LIKE IF I TOUCH YOU,DCA_se1_ag1_m_03,285.2916,286.5576,1.2659999999999627,africa_american,0,19,13 10 12 6 28 10 7 28 10 28 21 16 22 4 9 28 26 16 22,Student_ms,Lower Working Class,-19,8,1,0
15436,2390,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_m_08_1.wav,AND CHRISTMAS WAS COMING AROUND AGAIN,DCA_se1_ag1_m_08,405.6887,407.7672,2.07850000000002,africa_american,0,37,2 15 5 28 4 9 19 10 20 21 14 2 20 28 24 2 20 28 4 16 14 10 15 8 28 2 19 16 22 15 5 28 2 8 2 10 15,High School,Lower Working Class,-19,3,1,0
15445,521,coraal/DCA_audio_2018.10.06/DCA_se2_ag2_m_01_1.wav,MORE LIKE UH,DCA_se2_ag2_m_01,420.9578,422.1581,1.2002999999999702,africa_american,0,12,14 16 19 6 28 13 10 12 6 28 22 9,High School,Upper Working Class,20 to 29,3,5,1
15450,9868,coraal/DCA_audio_2018.10.06/DCA_se3_ag3_m_01_2.wav,AND HE SAID UH I KNOW YOU FROM SOMEWHERE YOU KNOW I CAN'T UH,DCA_se3_ag3_m_01,172.0089,176.1204,4.111499999999978,africa_american,0,60,2 15 5 28 9 6 28 20 2 10 5 28 22 9 28 10 28 12 15 16 24 28 26 16 22 28 7 19 16 14 28 20 16 14 6 24 9 6 19 6 28 26 16 22 28 12 15 16 24 28 10 28 4 2 15 1 21 28 22 9,Some College,Upper Middle Class,30 to 50,4,4,2
15451,31573,coraal/DCA_audio_2018.10.06/DCA_se3_ag3_m_01_1.wav,UM THAT WAS STORY OF A,DCA_se3_ag3_m_01,762.9167,765.2082,2.291500000000042,africa_american,0,22,22 14 28 21 9 2 21 28 24 2 20 28 20 21 16 19 26 28 16 7 28 2,Some College,Upper Middle Class,30 to 50,4,4,2
15456,53000,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_m_03_1.wav,CAUSE THEY HAD DONE GOT THE RUBY AND THEY HAD DONE PUT IT BACK,DCA_se1_ag1_m_03,1020.9801,1023.8758,2.895700000000033,africa_american,0,62,4 2 22 20 6 28 21 9 6 26 28 9 2 5 28 5 16 15 6 28 8 16 21 28 21 9 6 28 19 22 3 26 28 2 15 5 28 21 9 6 26 28 9 2 5 28 5 16 15 6 28 17 22 21 28 10 21 28 3 2 4 12,Student_ms,Lower Working Class,-19,8,1,0
15457,31047,coraal/DCA_audio_2018.10.06/DCA_se1_ag3_f_01_1.wav,AND UH THIS IS WHAT I DID,DCA_se1_ag3_f_01,983.4356,985.1049,1.6693000000000209,africa_american,0,25,2 15 5 28 22 9 28 21 9 10 20 28 10 20 28 24 9 2 21 28 10 28 5 10 5,High School,Lower Working Class,30 to 50,3,1,2
15463,24433,coraal/DCA_audio_2018.10.06/DCA_se1_ag3_f_02_1.wav,AFTER SHE WAS AT THE SCHOOL ABOUT THREE YEARS THEY SAID THAT SHE HAD,DCA_se1_ag3_f_02,919.5991,923.6645,4.065399999999953,africa_american,0,68,2 7 21 6 19 28 20 9 6 28 24 2 20 28 2 21 28 21 9 6 28 20 4 9 16 16 13 28 2 3 16 22 21 28 21 9 19 6 6 28 26 6 2 19 20 28 21 9 6 26 28 20 2 10 5 28 21 9 2 21 28 20 9 6 28 9 2 5,Some College,Lower Working Class,30 to 50,4,1,2
15468,51856,coraal/DCA_audio_2018.10.06/DCA_se3_ag4_m_02_1.wav,HAD ANOTHER ASSUMED NAME,DCA_se3_ag4_m_02,271.4404,272.9652,1.5247999999999706,africa_american,0,24,9 2 5 28 2 15 16 21 9 6 19 28 2 20 20 22 14 6 5 28 15 2 14 6,High School,Lower Middle Class,51+,3,0,3
15470,14968,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_m_05_1.wav,JUST GO PLACES YOU KNOW,DCA_se3_ag1_m_05,542.0113,543.2318,1.2205000000000157,africa_american,0,23,11 22 20 21 28 8 16 28 17 13 2 4 6 20 28 26 16 22 28 12 15 16 24,Student_hs,Lower Middle Class,-19,7,0,0
15479,18634,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_m_07_1.wav,SUPPOSED TO BE GOOD COME TO THE MOVIE,DCA_se1_ag1_m_07,352.86800000000005,354.7844,1.9163999999999533,africa_american,0,37,20 22 17 17 16 20 6 5 28 21 16 28 3 6 28 8 16 16 5 28 4 16 14 6 28 21 16 28 21 9 6 28 14 16 23 10 6,Student_hs,Lower Working Class,-19,7,1,0
15483,58033,coraal/DCA_audio_2018.10.06/DCA_se3_ag4_m_01_1.wav,THAT WAS INTENDED FOR ADULTS ONLY,DCA_se3_ag4_m_01,692.3089,694.0808,1.7718999999999596,africa_american,0,33,21 9 2 21 28 24 2 20 28 10 15 21 6 15 5 6 5 28 7 16 19 28 2 5 22 13 21 20 28 16 15 13 26,College,Unknown,51+,0,2,3
15487,44151,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_f_05_1.wav,ON THE RIGHT LEVEL YOU KNOW LIKE MIX WITH EVERYBODY,DCA_se3_ag1_f_05,1225.9878,1228.705,2.7171999999998206,africa_american,0,51,16 15 28 21 9 6 28 19 10 8 9 21 28 13 6 23 6 13 28 26 16 22 28 12 15 16 24 28 13 10 12 6 28 14 10 25 28 24 10 21 9 28 6 23 6 19 26 3 16 5 26,Student_hs,Lower Middle Class,-19,7,0,0
15491,24519,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_m_01_1.wav,DIFFERENT RHYMES AND THINGS UNTIL THE LAST PERSON,DCA_se3_ag1_m_01,209.7402,212.2804,2.5401999999999987,africa_american,0,49,5 10 7 7 6 19 6 15 21 28 19 9 26 14 6 20 28 2 15 5 28 21 9 10 15 8 20 28 22 15 21 10 13 28 21 9 6 28 13 2 20 21 28 17 6 19 20 16 15,Student_ms,Upper Class,-19,8,3,0
15508,27558,coraal/DCA_audio_2018.10.06/DCA_se3_ag2_m_03_1.wav,PROGRAM I REMEMBER THESE TWO BECAUSE THEY CAME ON BEHIND EACH OTHER AROUND,DCA_se3_ag2_m_03,223.0481,226.0036,2.9555000000000007,africa_american,0,74,17 19 16 8 19 2 14 28 10 28 19 6 14 6 14 3 6 19 28 21 9 6 20 6 28 21 24 16 28 3 6 4 2 22 20 6 28 21 9 6 26 28 4 2 14 6 28 16 15 28 3 6 9 10 15 5 28 6 2 4 9 28 16 21 9 6 19 28 2 19 16 22 15 5,High School,Lower Middle Class,20 to 29,3,0,1
15510,47192,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_05_1.wav,I JUST CAN'T GET THE REST OF IT ANYWAY,DCA_se2_ag1_m_05,148.4025,150.4473,2.0448000000000093,africa_american,0,38,10 28 11 22 20 21 28 4 2 15 1 21 28 8 6 21 28 21 9 6 28 19 6 20 21 28 16 7 28 10 21 28 2 15 26 24 2 26,High School,Upper Working Class,-19,3,5,0
15519,36811,coraal/DCA_audio_2018.10.06/DCA_se3_ag4_m_02_1.wav,STAND UNDER TREE AND,DCA_se3_ag4_m_02,53.7857,55.0353,1.249600000000001,africa_american,0,20,20 21 2 15 5 28 22 15 5 6 19 28 21 19 6 6 28 2 15 5,High School,Lower Middle Class,51+,3,0,3
15522,56653,coraal/DCA_audio_2018.10.06/DCA_se3_ag2_f_01_1.wav,PICK ON THEM ONE PARTICULAR GIRL HAD VERY LONG BRAIDS AND THE KIDS WOULD PULL HER BRAIDS ALL THE TIME,DCA_se3_ag2_f_01,1250.7969,1255.8833,5.086399999999912,africa_american,0,101,17 10 4 12 28 16 15 28 21 9 6 14 28 16 15 6 28 17 2 19 21 10 4 22 13 2 19 28 8 10 19 13 28 9 2 5 28 23 6 19 26 28 13 16 15 8 28 3 19 2 10 5 20 28 2 15 5 28 21 9 6 28 12 10 5 20 28 24 16 22 13 5 28 17 22 13 13 28 9 6 19 28 3 19 2 10 5 20 28 2 13 13 28 21 9 6 28 21 10 14 6,Student_college,Upper Middle Class,20 to 29,6,4,1
15527,9112,coraal/DCA_audio_2018.10.06/DCA_se3_ag2_f_02_1.wav,TURN BOTH ROPES SIMULTANEOUSLY,DCA_se3_ag2_f_02,135.418,137.7146,2.296599999999984,africa_american,0,30,21 22 19 15 28 3 16 21 9 28 19 16 17 6 20 28 20 10 14 22 13 21 2 15 6 16 22 20 13 26,Some College,Lower Middle Class,20 to 29,4,0,1
15529,18638,coraal/DCA_audio_2018.10.06/DCA_se1_ag3_m_01_1.wav,I HAD CHORES SUCH AS UM,DCA_se1_ag3_m_01,1603.651,1605.6267,1.9756999999999607,africa_american,0,23,10 28 9 2 5 28 4 9 16 19 6 20 28 20 22 4 9 28 2 20 28 22 14,High School,Lower Working Class,30 to 50,3,1,2
15530,47515,coraal/DCA_audio_2018.10.06/DCA_se3_ag3_m_01_2.wav,WENT DOWN TO UM,DCA_se3_ag3_m_01,1121.3378,1122.7449,1.4070999999999003,africa_american,0,15,24 6 15 21 28 5 16 24 15 28 21 16 28 22 14,Some College,Upper Middle Class,30 to 50,4,4,2
15534,38483,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_m_07_1.wav,THEY SAY WHEN YOU GO TO COLLEGE YOU GOTTA TAKE UP THIS AND ALL THAT YOU KNOW,DCA_se1_ag1_m_07,314.6014,318.2653,3.663900000000013,africa_american,0,76,21 9 6 26 28 20 2 26 28 24 9 6 15 28 26 16 22 28 8 16 28 21 16 28 4 16 13 13 6 8 6 28 26 16 22 28 8 16 21 21 2 28 21 2 12 6 28 22 17 28 21 9 10 20 28 2 15 5 28 2 13 13 28 21 9 2 21 28 26 16 22 28 12 15 16 24,Student_hs,Lower Working Class,-19,7,1,0
15536,19969,coraal/DCA_audio_2018.10.06/DCA_se2_ag3_m_01_1.wav,TEN OR TWELVE OF Y'ALL BE OUT THERE FIGHTING,DCA_se2_ag3_m_01,1229.8604,1231.3399,1.4794999999999163,africa_american,0,44,21 6 15 28 16 19 28 21 24 6 13 23 6 28 16 7 28 26 1 2 13 13 28 3 6 28 16 22 21 28 21 9 6 19 6 28 7 10 8 9 21 10 15 8,Some High School,Upper Working Class,30 to 50,5,5,2
15539,5061,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_m_05_1.wav,I LIKE CARTOONS,DCA_se1_ag1_m_05,549.0866,550.6457,1.5591000000000577,africa_american,0,15,10 28 13 10 12 6 28 4 2 19 21 16 16 15 20,Student_ms,Lower Working Class,-19,8,1,0
15545,47887,coraal/DCA_audio_2018.10.06/DCA_se3_ag3_f_01_1.wav,WELL WE HAD UH UH JOBS TO DO AT HOME AND UH,DCA_se3_ag3_f_01,591.5167,595.5467,4.029999999999974,africa_american,0,43,24 6 13 13 28 24 6 28 9 2 5 28 22 9 28 22 9 28 11 16 3 20 28 21 16 28 5 16 28 2 21 28 9 16 14 6 28 2 15 5 28 22 9,High School,Lower Middle Class,30 to 50,3,0,2
15547,44630,coraal/DCA_audio_2018.10.06/DCA_se1_ag3_m_01_1.wav,HE SAID WELL IF YOU COME TO THIS WAGON,DCA_se1_ag3_m_01,1171.3258,1173.4453,2.1195000000000164,africa_american,0,38,9 6 28 20 2 10 5 28 24 6 13 13 28 10 7 28 26 16 22 28 4 16 14 6 28 21 16 28 21 9 10 20 28 24 2 8 16 15,High School,Lower Working Class,30 to 50,3,1,2
15548,2803,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_04_1.wav,I WAS SCARED TO COME BACK HOME,DCA_se2_ag1_m_04,1095.0921,1096.3091,1.2169999999998709,africa_american,0,30,10 28 24 2 20 28 20 4 2 19 6 5 28 21 16 28 4 16 14 6 28 3 2 4 12 28 9 16 14 6,Student_hs,Upper Working Class,-19,7,5,0
15551,38759,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_06_1.wav,WE GO AROUND DO THINGS TOGETHER YOU KNOW,DCA_se2_ag1_m_06,403.4067,404.619,1.2123000000000277,africa_american,0,40,24 6 28 8 16 28 2 19 16 22 15 5 28 5 16 28 21 9 10 15 8 20 28 21 16 8 6 21 9 6 19 28 26 16 22 28 12 15 16 24,High School,Upper Working Class,-19,3,5,0
15553,11639,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_f_04_1.wav,FIRST OF ALL THIS YEAR SHE LIKE HER CHILDREN TO BE NEAT,DCA_se2_ag1_f_04,890.117,892.6089,2.491899999999987,africa_american,0,55,7 10 19 20 21 28 16 7 28 2 13 13 28 21 9 10 20 28 26 6 2 19 28 20 9 6 28 13 10 12 6 28 9 6 19 28 4 9 10 13 5 19 6 15 28 21 16 28 3 6 28 15 6 2 21,Student_ms,Upper Working Class,-19,8,5,0
15554,23109,coraal/DCA_audio_2018.10.06/DCA_se2_ag2_m_02_1.wav,UH LIKE THE JOB I'M ON NOW,DCA_se2_ag2_m_02,2044.4383,2045.7625,1.3242000000000191,africa_american,0,26,22 9 28 13 10 12 6 28 21 9 6 28 11 16 3 28 10 1 14 28 16 15 28 15 16 24,High School,Upper Working Class,20 to 29,3,5,1
15555,18450,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_f_02_1.wav,AND SO THE PRINCIPAL KNEW MY GRANDMOTHER,DCA_se2_ag1_f_02,578.4409,580.2969,1.8559999999999943,africa_american,0,40,2 15 5 28 20 16 28 21 9 6 28 17 19 10 15 4 10 17 2 13 28 12 15 6 24 28 14 26 28 8 19 2 15 5 14 16 21 9 6 19,Student_ms,Upper Working Class,-19,8,5,0
15565,37765,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_05_2.wav,AND WE ALL WOULD TALK TO ONE ANOTHER YOU KNOW ALL MY FRIENDS YOU KNOW I'M GONNA GET THIS I BET,DCA_se2_ag1_m_05,48.1092,52.6393,4.530099999999997,africa_american,0,94,2 15 5 28 24 6 28 2 13 13 28 24 16 22 13 5 28 21 2 13 12 28 21 16 28 16 15 6 28 2 15 16 21 9 6 19 28 26 16 22 28 12 15 16 24 28 2 13 13 28 14 26 28 7 19 10 6 15 5 20 28 26 16 22 28 12 15 16 24 28 10 1 14 28 8 16 15 15 2 28 8 6 21 28 21 9 10 20 28 10 28 3 6 21,High School,Upper Working Class,-19,3,5,0
15566,33624,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_01_1.wav,I MEAN I THINK THEY RIGHT ABOUT THAT YOU KNOW,DCA_se2_ag1_m_01,1915.6168,1917.2954,1.6785999999999603,africa_american,0,45,10 28 14 6 2 15 28 10 28 21 9 10 15 12 28 21 9 6 26 28 19 10 8 9 21 28 2 3 16 22 21 28 21 9 2 21 28 26 16 22 28 12 15 16 24,Student_hs,Upper Working Class,-19,7,5,0
15567,39965,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_05_1.wav,WELL I WAS ON A GENERAL TRACK I TOOK ENGLISH,DCA_se2_ag1_m_05,779.3812,782.4505,3.0692999999999984,africa_american,0,44,24 6 13 13 28 10 28 24 2 20 28 16 15 28 2 28 8 6 15 6 19 2 13 28 21 19 2 4 12 28 10 28 21 16 16 12 28 6 15 8 13 10 20 9,High School,Upper Working Class,-19,3,5,0
15568,33763,coraal/DCA_audio_2018.10.06/DCA_se2_ag2_m_03_1.wav,AND SO THEY AGREED TO TELL HIM SO,DCA_se2_ag2_m_03,1208.168,1209.9155,1.7474999999999454,africa_american,0,33,2 15 5 28 20 16 28 21 9 6 26 28 2 8 19 6 6 5 28 21 16 28 21 6 13 13 28 9 10 14 28 20 16,High School,Upper Working Class,20 to 29,3,5,1
15577,22679,coraal/DCA_audio_2018.10.06/DCA_se2_ag2_m_02_1.wav,AND MEETING THEM AT THE BANK YOU KNOW ON PAY DAY SAYING UH HOW ABOUT A COUPLE DOLLARS POP YOU KNOW,DCA_se2_ag2_m_02,2168.6022,2172.5506,3.94840000000022,africa_american,0,98,2 15 5 28 14 6 6 21 10 15 8 28 21 9 6 14 28 2 21 28 21 9 6 28 3 2 15 12 28 26 16 22 28 12 15 16 24 28 16 15 28 17 2 26 28 5 2 26 28 20 2 26 10 15 8 28 22 9 28 9 16 24 28 2 3 16 22 21 28 2 28 4 16 22 17 13 6 28 5 16 13 13 2 19 20 28 17 16 17 28 26 16 22 28 12 15 16 24,High School,Upper Working Class,20 to 29,3,5,1
15578,30433,coraal/DCA_audio_2018.10.06/DCA_se3_ag2_f_05_1.wav,THE ELEVATOR OPENED OF COURSE THE CROOK OR,DCA_se3_ag2_f_05,336.1081,338.7973,2.6892000000000285,africa_american,0,42,21 9 6 28 6 13 6 23 2 21 16 19 28 16 17 6 15 6 5 28 16 7 28 4 16 22 19 20 6 28 21 9 6 28 4 19 16 16 12 28 16 19,College,Lower Middle Class,20 to 29,0,0,1
15580,41256,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_05_1.wav,MY MAN SO AND SO MY MAN SO AND SO YOU KNOW,DCA_se2_ag1_m_05,2516.894,2520.2556,3.3616000000001804,africa_american,0,42,14 26 28 14 2 15 28 20 16 28 2 15 5 28 20 16 28 14 26 28 14 2 15 28 20 16 28 2 15 5 28 20 16 28 26 16 22 28 12 15 16 24,High School,Upper Working Class,-19,3,5,0
15583,34493,coraal/DCA_audio_2018.10.06/DCA_se1_ag3_f_01_1.wav,AND THEN THE NEXT ONE WOULD COME ALONG AND SAY 'THREE FOUR',DCA_se1_ag3_f_01,364.6223,367.399,2.7767000000000053,africa_american,0,59,2 15 5 28 21 9 6 15 28 21 9 6 28 15 6 25 21 28 16 15 6 28 24 16 22 13 5 28 4 16 14 6 28 2 13 16 15 8 28 2 15 5 28 20 2 26 28 1 21 9 19 6 6 28 7 16 22 19 1,High School,Lower Working Class,30 to 50,3,1,2
15591,30072,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_m_04_1.wav,WE GET OUT BEFORE THE PUBLIC SCHOOLS DO,DCA_se3_ag1_m_04,2074.3484,2076.1932,1.8448000000003049,africa_american,0,39,24 6 28 8 6 21 28 16 22 21 28 3 6 7 16 19 6 28 21 9 6 28 17 22 3 13 10 4 28 20 4 9 16 16 13 20 28 5 16,Student_hs,Lower Middle Class,-19,7,0,0
15601,4324,coraal/DCA_audio_2018.10.06/DCA_se3_ag2_m_03_1.wav,WHICH WAS A GIRL,DCA_se3_ag2_m_03,391.6561,392.8665,1.2103999999999928,africa_american,0,16,24 9 10 4 9 28 24 2 20 28 2 28 8 10 19 13,High School,Lower Middle Class,20 to 29,3,0,1
15603,23809,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_f_02_1.wav,I DON'T KNOW WHAT SHE DID WITH 'EM,DCA_se1_ag1_f_02,948.132,949.6453,1.5133000000000718,africa_american,0,34,10 28 5 16 15 1 21 28 12 15 16 24 28 24 9 2 21 28 20 9 6 28 5 10 5 28 24 10 21 9 28 1 6 14,Student_ms,Lower Working Class,-19,8,1,0
15604,16787,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_m_07_1.wav,THEN TOMORROW YOU KNOW THREE DAYS LATER I MIGHT LEND HIM A PAIR OF PANTS,DCA_se1_ag1_m_07,1028.3608,1031.7343,3.373500000000149,africa_american,0,72,21 9 6 15 28 21 16 14 16 19 19 16 24 28 26 16 22 28 12 15 16 24 28 21 9 19 6 6 28 5 2 26 20 28 13 2 21 6 19 28 10 28 14 10 8 9 21 28 13 6 15 5 28 9 10 14 28 2 28 17 2 10 19 28 16 7 28 17 2 15 21 20,Student_hs,Lower Working Class,-19,7,1,0
15616,38385,coraal/DCA_audio_2018.10.06/DCA_se3_ag2_f_04_1.wav,I DON'T SEE HOW SHE DOES IT I COULDN'T UH,DCA_se3_ag2_f_04,1115.7143,1117.782,2.067699999999832,africa_american,0,41,10 28 5 16 15 1 21 28 20 6 6 28 9 16 24 28 20 9 6 28 5 16 6 20 28 10 21 28 10 28 4 16 22 13 5 15 1 21 28 22 9,College,Lower Middle Class,20 to 29,0,0,1
15620,10438,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_05_1.wav,LIKE WE DON'T EVEN WANT HIM AROUND HERE YOU KNOW,DCA_se2_ag1_m_05,2416.3012,2418.6798,2.378600000000006,africa_american,0,48,13 10 12 6 28 24 6 28 5 16 15 1 21 28 6 23 6 15 28 24 2 15 21 28 9 10 14 28 2 19 16 22 15 5 28 9 6 19 6 28 26 16 22 28 12 15 16 24,High School,Upper Working Class,-19,3,5,0
15634,23090,coraal/DCA_audio_2018.10.06/DCA_se1_ag4_m_02_1.wav,BUT IF I GET TO BE A PREACHER,DCA_se1_ag4_m_02,1461.155,1462.543,1.3879999999999195,africa_american,0,29,3 22 21 28 10 7 28 10 28 8 6 21 28 21 16 28 3 6 28 2 28 17 19 6 2 4 9 6 19,Some High School,Lower Working Class,51+,5,1,3
15642,56101,coraal/DCA_audio_2018.10.06/DCA_se3_ag3_f_01_1.wav,IN THESE COUNTRIES UH,DCA_se3_ag3_f_01,1166.3989,1167.9349,1.5360000000000582,africa_american,0,21,10 15 28 21 9 6 20 6 28 4 16 22 15 21 19 10 6 20 28 22 9,High School,Lower Middle Class,30 to 50,3,0,2
15649,46153,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_f_01_1.wav,AND THERE WAS SOME KIND OF FLAMES OR SOMETHING YOU HAD TO SHOOT OUT,DCA_se2_ag1_f_01,451.0522,453.8686,2.816399999999988,africa_american,0,67,2 15 5 28 21 9 6 19 6 28 24 2 20 28 20 16 14 6 28 12 10 15 5 28 16 7 28 7 13 2 14 6 20 28 16 19 28 20 16 14 6 21 9 10 15 8 28 26 16 22 28 9 2 5 28 21 16 28 20 9 16 16 21 28 16 22 21,Student_ms,Upper Working Class,-19,8,5,0
15650,56953,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_m_04_1.wav,JUST WALK ON AWAY FROM 'EM,DCA_se1_ag1_m_04,1583.9771,1585.4028,1.4257000000000062,africa_american,0,26,11 22 20 21 28 24 2 13 12 28 16 15 28 2 24 2 26 28 7 19 16 14 28 1 6 14,Student_ms,Lower Working Class,-19,8,1,0
15661,1508,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_f_03_1.wav,AND MY MOTHER WAS RIGHT AT HOME AND I DIDN'T SEE HER,DCA_se3_ag1_f_03,1825.2071,1827.697,2.489900000000034,africa_american,0,52,2 15 5 28 14 26 28 14 16 21 9 6 19 28 24 2 20 28 19 10 8 9 21 28 2 21 28 9 16 14 6 28 2 15 5 28 10 28 5 10 5 15 1 21 28 20 6 6 28 9 6 19,Student_ms,Lower Middle Class,-19,8,0,0
15667,42566,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_m_07_1.wav,I GO HOME AND DO MY HOMEWORK OR,DCA_se1_ag1_m_07,778.0434,780.2396,2.1961999999999757,africa_american,0,31,10 28 8 16 28 9 16 14 6 28 2 15 5 28 5 16 28 14 26 28 9 16 14 6 24 16 19 12 28 16 19,Student_hs,Lower Working Class,-19,7,1,0
15671,54314,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_f_03_1.wav,MEDALLION WHATEVER THEY WANTED,DCA_se2_ag1_f_03,1018.5511,1020.2575,1.7064000000000306,africa_american,0,30,14 6 5 2 13 13 10 16 15 28 24 9 2 21 6 23 6 19 28 21 9 6 26 28 24 2 15 21 6 5,Student_ms,Upper Working Class,-19,8,5,0
15676,48899,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_m_02_1.wav,SIX SCOOP ICE CREAM CONE WHEN THEY GET THAT YOU KNOW EVERYBODY PITCHES IN A PENNY AND THEY BUY HIM ONE,DCA_se3_ag1_m_02,1219.7864,1224.3103,4.52390000000014,africa_american,0,102,20 10 25 28 20 4 16 16 17 28 10 4 6 28 4 19 6 2 14 28 4 16 15 6 28 24 9 6 15 28 21 9 6 26 28 8 6 21 28 21 9 2 21 28 26 16 22 28 12 15 16 24 28 6 23 6 19 26 3 16 5 26 28 17 10 21 4 9 6 20 28 10 15 28 2 28 17 6 15 15 26 28 2 15 5 28 21 9 6 26 28 3 22 26 28 9 10 14 28 16 15 6,Student_hs,Upper Middle Class,-19,7,4,0
15679,22027,coraal/DCA_audio_2018.10.06/DCA_se3_ag2_f_01_1.wav,AND THE NEIGHBORHOOD WE WERE LIVING IN IT WAS DISTURBING THE NEIGHBORS SO,DCA_se3_ag2_f_01,768.7419,772.1696,3.427699999999959,africa_american,0,73,2 15 5 28 21 9 6 28 15 6 10 8 9 3 16 19 9 16 16 5 28 24 6 28 24 6 19 6 28 13 10 23 10 15 8 28 10 15 28 10 21 28 24 2 20 28 5 10 20 21 22 19 3 10 15 8 28 21 9 6 28 15 6 10 8 9 3 16 19 20 28 20 16,Student_college,Upper Middle Class,20 to 29,6,4,1
15683,44003,coraal/DCA_audio_2018.10.06/DCA_se2_ag3_m_01_1.wav,I KEEP ON HIM SO TIGHT YOU KNOW HE GONNA HAVE TIME TO DO IT SO MUCH AND I'M'A BRING HIM DOWN HERE SO HE CAN,DCA_se2_ag3_m_01,1293.2664,1297.4725,4.206100000000107,africa_american,0,107,10 28 12 6 6 17 28 16 15 28 9 10 14 28 20 16 28 21 10 8 9 21 28 26 16 22 28 12 15 16 24 28 9 6 28 8 16 15 15 2 28 9 2 23 6 28 21 10 14 6 28 21 16 28 5 16 28 10 21 28 20 16 28 14 22 4 9 28 2 15 5 28 10 1 14 1 2 28 3 19 10 15 8 28 9 10 14 28 5 16 24 15 28 9 6 19 6 28 20 16 28 9 6 28 4 2 15,Some High School,Upper Working Class,30 to 50,5,5,2
15694,41927,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_f_05_1.wav,AND BEVERLY HILLBILLIES,DCA_se1_ag1_f_05,294.1284,296.1543,2.0258999999999787,africa_american,0,23,2 15 5 28 3 6 23 6 19 13 26 28 9 10 13 13 3 10 13 13 10 6 20,Student_ms,Lower Working Class,-19,8,1,0
15698,45125,coraal/DCA_audio_2018.10.06/DCA_se3_ag3_m_01_2.wav,AND EVERY EVENING WE USED TO GET ON THE PLAYGROUND AND PLAY BALL,DCA_se3_ag3_m_01,65.0014,68.6139,3.612499999999997,africa_american,0,64,2 15 5 28 6 23 6 19 26 28 6 23 6 15 10 15 8 28 24 6 28 22 20 6 5 28 21 16 28 8 6 21 28 16 15 28 21 9 6 28 17 13 2 26 8 19 16 22 15 5 28 2 15 5 28 17 13 2 26 28 3 2 13 13,Some College,Upper Middle Class,30 to 50,4,4,2
15702,35569,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_m_02_1.wav,WELL YOU WANNA GET ROUGH HUH,DCA_se1_ag1_m_02,757.4217,759.1377,1.7160000000000082,africa_american,0,28,24 6 13 13 28 26 16 22 28 24 2 15 15 2 28 8 6 21 28 19 16 22 8 9 28 9 22 9,Student_ms,Lower Working Class,-19,8,1,0
15705,40058,coraal/DCA_audio_2018.10.06/DCA_se3_ag1_f_01_1.wav,BUT HE THOUGHT HE WOULD HAVE TO PAY FOR HIM BUT,DCA_se3_ag1_f_01,909.4386,911.425,1.9864000000000035,africa_american,0,47,3 22 21 28 9 6 28 21 9 16 22 8 9 21 28 9 6 28 24 16 22 13 5 28 9 2 23 6 28 21 16 28 17 2 26 28 7 16 19 28 9 10 14 28 3 22 21,Student_ms,Lower Middle Class,-19,8,0,0
15714,32559,coraal/DCA_audio_2018.10.06/DCA_se3_ag3_m_01_1.wav,HE PRINTED MOST OF THE TIME,DCA_se3_ag3_m_01,1356.234,1357.7244,1.4904000000001358,africa_american,0,27,9 6 28 17 19 10 15 21 6 5 28 14 16 20 21 28 16 7 28 21 9 6 28 21 10 14 6,Some College,Upper Middle Class,30 to 50,4,4,2
